NODE_Pradillo.CircuitClosed;BOOL;OPC_QUALITY_OUT_OF_SERVICE;TRUE
NODE_Vinaceite.Active;BOOL;OPC_QUALITY_OUT_OF_SERVICE;TRUE
NODE_Vinaceite.ActivePower;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Vinaceite.ReactivePower;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Vinaceite.Current;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Vinaceite.VoltageR;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Vinaceite.VoltageS;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Vinaceite.VoltageT;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Vinaceite.SetpointApplied;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Vinaceite.CECOELSetpointReceived;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Vinaceite.CECOELSetpointMotive;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Vinaceite.CECORESetpointReceived;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Vinaceite.CECORESetpointMotive;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Vinaceite.CECORERoleReceived;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Vinaceite.RemainingTime;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Vinaceite.ActivePowerAds;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Vinaceite.GridConnection;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;2
NODE_Vinaceite.WindDirection;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Vinaceite.WindSpeed;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Vinaceite.Temperature;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Vinaceite.CircuitClosed;BOOL;OPC_QUALITY_OUT_OF_SERVICE;TRUE
